Date,Open,High,Low,Close,Adj Close,Volume
30-12-2020,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300
31-12-2020,3275,3282.919922,3241.199951,3256.929932,3256.929932,2957200
04-01-2021,3270,3272,3144.02002,3186.629883,3186.629883,4411400
05-01-2021,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500
06-01-2021,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800
07-01-2021,3157,3208.540039,3155,3162.159912,3162.159912,3514500
08-01-2021,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700
11-01-2021,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400
12-01-2021,3120,3142.139893,3086,3120.830078,3120.830078,3514600
13-01-2021,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200
14-01-2021,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900
15-01-2021,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000
19-01-2021,3107,3145,3096,3120.76001,3120.76001,3305100
20-01-2021,3181.98999,3279.800049,3175,3263.379883,3263.379883,5309800
21-01-2021,3293,3348.550049,3289.570068,3306.98999,3306.98999,4936100
22-01-2021,3304.310059,3321.909912,3283.159912,3292.22998,3292.22998,2821900
25-01-2021,3328.5,3363.889893,3243.149902,3294,3294,3749800
26-01-2021,3296.360107,3338,3282.870117,3326.129883,3326.129883,2955200
27-01-2021,3341.48999,3346.52002,3207.080078,3232.580078,3232.580078,4660200
28-01-2021,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149200
29-01-2021,3230,3236.98999,3184.550049,3206.199951,3206.199951,4293600
01-02-2021,3242.360107,3350.26001,3235.030029,3342.879883,3342.879883,4160200
02-02-2021,3380,3427.73999,3361.129883,3380,3380,7098600
03-02-2021,3425.01001,3434,3308.620117,3312.530029,3312.530029,7088800
04-02-2021,3330,3347,3277.75,3331,3331,3670700
05-02-2021,3319,3377,3302.709961,3352.149902,3352.149902,3620800
08-02-2021,3358.5,3365,3304,3322.939941,3322.939941,3257400
09-02-2021,3312.48999,3338,3297.840088,3305,3305,2203500
10-02-2021,3314,3317.949951,3254,3286.580078,3286.580078,3151600
11-02-2021,3292,3292,3248.060059,3262.129883,3262.129883,2301400
12-02-2021,3250,3280.25,3233.310059,3277.709961,3277.709961,2335300
16-02-2021,3254.050049,3308.300049,3253.590088,3268.949951,3268.949951,2574700
17-02-2021,3263.600098,3320.909912,3259.5,3308.639893,3308.639893,3297500
18-02-2021,3282.419922,3338,3273.939941,3328.22998,3328.22998,3027400
19-02-2021,3328.22998,3333.5,3245.75,3249.899902,3249.899902,4305200
22-02-2021,3208.129883,3232.320068,3172.26001,3180.73999,3180.73999,3515700
23-02-2021,3127.030029,3204.72998,3093.600098,3194.5,3194.5,4677200
24-02-2021,3166.75,3171.22998,3125.379883,3159.530029,3159.530029,3011300
25-02-2021,3136.73999,3178.26001,3047.76001,3057.159912,3057.159912,4533800
26-02-2021,3095.199951,3122.439941,3036.699951,3092.929932,3092.929932,4275900
01-03-2021,3127.889893,3149.560059,3097.98999,3146.139893,3146.139893,2729100
02-03-2021,3143.469971,3163.52002,3087.120117,3094.530029,3094.530029,2595800
03-03-2021,3081.179932,3107.780029,2995,3005,3005,3988700
04-03-2021,3012,3058.129883,2945.429932,2977.570068,2977.570068,5481600
05-03-2021,3005,3009,2881,3000.459961,3000.459961,5388600
08-03-2021,3015,3064.590088,2951.310059,2951.949951,2951.949951,4185000
09-03-2021,3017.98999,3090.959961,3005.149902,3062.850098,3062.850098,4030000
10-03-2021,3098.449951,3116.459961,3030.050049,3057.639893,3057.639893,3012500
11-03-2021,3104.01001,3131.780029,3082.929932,3113.590088,3113.590088,2776400
12-03-2021,3075,3098.97998,3045.5,3089.48999,3089.48999,2421900
15-03-2021,3074.570068,3082.23999,3032.090088,3081.679932,3081.679932,2913600
16-03-2021,3104.969971,3128.909912,3075.860107,3091.860107,3091.860107,2538800
17-03-2021,3073.219971,3173.050049,3070.219971,3135.72998,3135.72998,3118600
18-03-2021,3101,3116.629883,3025,3027.98999,3027.98999,3649600
19-03-2021,3029.22998,3077.290039,3016.629883,3074.959961,3074.959961,4625400
22-03-2021,3067.850098,3126.580078,3060.050049,3110.870117,3110.870117,2902200
23-03-2021,3127,3182,3120.850098,3137.5,3137.5,3817300
24-03-2021,3151.040039,3160.310059,3085.149902,3087.070068,3087.070068,2959000
25-03-2021,3072.98999,3109.780029,3037.139893,3046.26001,3046.26001,3563500
26-03-2021,3044.060059,3056.659912,2996,3052.030029,3052.030029,3312900
29-03-2021,3055.439941,3091.25,3028.449951,3075.72998,3075.72998,2746000
30-03-2021,3070.01001,3073,3034,3055.290039,3055.290039,2337600
31-03-2021,3064.060059,3119.330078,3062.5,3094.080078,3094.080078,3093900
01-04-2021,3117.939941,3162.439941,3115.550049,3161,3161,2940300
05-04-2021,3173,3235.959961,3161.23999,3226.72998,3226.72998,3334900
06-04-2021,3223.75,3247.310059,3217.040039,3223.820068,3223.820068,2537800
07-04-2021,3233.800049,3303.610107,3223.649902,3279.389893,3279.389893,3346200
08-04-2021,3310.899902,3324.5,3292,3299.300049,3299.300049,2812100
09-04-2021,3304.699951,3372.199951,3288.899902,3372.199951,3372.199951,4341500
12-04-2021,3355.209961,3395.040039,3351.149902,3379.389893,3379.389893,3281800
13-04-2021,3400.850098,3432,3395.629883,3400,3400,3315800
14-04-2021,3404.040039,3404.129883,3326,3333,3333,3145200
15-04-2021,3371,3397,3352,3379.090088,3379.090088,3233600
16-04-2021,3380,3406.800049,3355.590088,3399.439941,3399.439941,3186000
19-04-2021,3390.330078,3435.929932,3360.159912,3372.01001,3372.01001,2725400
20-04-2021,3373.600098,3382.98999,3316,3334.689941,3334.689941,2623000
21-04-2021,3316,3362.860107,3303.810059,3362.02002,3362.02002,2211200
22-04-2021,3371.679932,3372.870117,3301.449951,3309.040039,3309.040039,2580600
23-04-2021,3319.100098,3375,3308.5,3340.879883,3340.879883,3192800
26-04-2021,3348,3428.449951,3330.939941,3409,3409,4880700
27-04-2021,3443.469971,3460,3398.01001,3417.429932,3417.429932,3827100
28-04-2021,3434.800049,3489.879883,3425,3458.5,3458.5,4631900
29-04-2021,3505.100098,3514.449951,3435,3471.310059,3471.310059,7682400
30-04-2021,3525.120117,3554,3462.5,3467.419922,3467.419922,7009300
03-05-2021,3484.72998,3486.649902,3372.699951,3386.48999,3386.48999,5875500
04-05-2021,3356.189941,3367.97998,3272.129883,3311.870117,3311.870117,5439400
05-05-2021,3338.860107,3354.699951,3264.360107,3270.540039,3270.540039,3711300
06-05-2021,3270,3314.399902,3247.199951,3306.370117,3306.370117,4447700
07-05-2021,3319.090088,3330.889893,3289.070068,3291.610107,3291.610107,4710300
10-05-2021,3282.320068,3283,3190,3190.48999,3190.48999,5838600
11-05-2021,3136.280029,3238,3127.370117,3223.909912,3223.909912,4619800
12-05-2021,3185,3207.939941,3133.100098,3151.939941,3151.939941,4936400
13-05-2021,3185.469971,3203.840088,3133,3161.469971,3161.469971,3350900
14-05-2021,3185.560059,3228.860107,3183,3222.899902,3222.899902,3325000
17-05-2021,3245.929932,3292.75,3234.590088,3270.389893,3270.389893,3723900
18-05-2021,3292.580078,3312,3230.370117,3232.280029,3232.280029,2828400
19-05-2021,3195,3234.75,3184,3231.800049,3231.800049,2679700
20-05-2021,3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
21-05-2021,3250,3256.689941,3197.01001,3203.080078,3203.080078,4104900
24-05-2021,3215.5,3257.949951,3210.5,3244.98999,3244.98999,2422800
25-05-2021,3266.669922,3279.820068,3213.76001,3259.050049,3259.050049,3261100
26-05-2021,3274.590088,3295.72998,3258.51001,3265.159912,3265.159912,2384000
27-05-2021,3256,3260.360107,3230.040039,3230.110107,3230.110107,2561200
28-05-2021,3242,3247.98999,3219.699951,3223.070068,3223.070068,2329800
01-06-2021,3243.5,3250.97998,3209.060059,3218.649902,3218.649902,2430000
02-06-2021,3223.100098,3235,3208,3233.98999,3233.98999,2014500
03-06-2021,3204.22998,3214.439941,3184.030029,3187.01001,3187.01001,2398300
04-06-2021,3212,3221,3198.810059,3206.219971,3206.219971,2249700
07-06-2021,3197.330078,3208,3172.199951,3198.01001,3198.01001,2215800
08-06-2021,3222.610107,3279.530029,3218.01001,3264.110107,3264.110107,3416700
09-06-2021,3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455500
10-06-2021,3282.01001,3351,3281.149902,3349.649902,3349.649902,3476500
11-06-2021,3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817400
14-06-2021,3346.830078,3385,3335.5,3383.870117,3383.870117,2569700
15-06-2021,3384,3396.98999,3363.110107,3383.129883,3383.129883,2426200
16-06-2021,3392,3426.350098,3360.530029,3415.25,3415.25,4202800
17-06-2021,3403.179932,3497.199951,3401,3489.23999,3489.23999,5136500
18-06-2021,3479.98999,3507,3473.709961,3486.899902,3486.899902,5247700
21-06-2021,3476.419922,3482,3434,3453.959961,3453.959961,3277100
22-06-2021,3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345100
23-06-2021,3505,3521,3483.199951,3503.820068,3503.820068,2813300
24-06-2021,3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
25-06-2021,3464,3464.820068,3394.179932,3401.459961,3401.459961,3941000
28-06-2021,3416,3448,3413.51001,3443.889893,3443.889893,2242800
29-06-2021,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
30-06-2021,3441.060059,3471.600098,3435,3440.159912,3440.159912,2404000
01-07-2021,3434.610107,3457,3409.419922,3432.969971,3432.969971,2037100
02-07-2021,3451.639893,3511.719971,3436.919922,3510.97998,3510.97998,3169400
06-07-2021,3530.110107,3685.47998,3529,3675.73999,3675.73999,6744800
07-07-2021,3717.379883,3734.199951,3678.909912,3696.580078,3696.580078,5328100
08-07-2021,3643.560059,3759.98999,3621.120117,3731.409912,3731.409912,5180600
09-07-2021,3722.52002,3748,3693.399902,3719.340088,3719.340088,3748200
12-07-2021,3744,3757.290039,3696.790039,3718.550049,3718.550049,2571600
13-07-2021,3702.100098,3773.080078,3671.320068,3677.360107,3677.360107,3845900
14-07-2021,3708.850098,3717.659912,3660.830078,3681.679932,3681.679932,3296600
15-07-2021,3694.199951,3695.399902,3620.919922,3631.199951,3631.199951,3185300
16-07-2021,3633.310059,3646.060059,3570.459961,3573.629883,3573.629883,4043700
19-07-2021,3532.580078,3550.209961,3499.159912,3549.590088,3549.590088,3784600
20-07-2021,3567.320068,3592,3518,3573.189941,3573.189941,3255700
21-07-2021,3576.379883,3586.449951,3543.639893,3585.199951,3585.199951,2319000
22-07-2021,3587.22998,3640.02002,3582.27002,3638.030029,3638.030029,3265400
23-07-2021,3640,3666.110107,3622.040039,3656.639893,3656.639893,2436300
26-07-2021,3673.169922,3712.080078,3647.25,3699.820068,3699.820068,2900100
27-07-2021,3698.5,3698.5,3586.149902,3626.389893,3626.389893,4131900
28-07-2021,3633.780029,3658.419922,3601,3630.320068,3630.320068,2999400
29-07-2021,3627.75,3637.949951,3580.01001,3599.919922,3599.919922,5520000
30-07-2021,3347.949951,3368.139893,3306.97998,3327.590088,3327.590088,9957100
02-08-2021,3353.100098,3358.919922,3317,3331.47998,3331.47998,3353900
03-08-2021,3340.719971,3391,3299.77002,3366.23999,3366.23999,4157300
